Date,Ticker,Side,Pred_Return_%,XGB_Rank_Score,Daily_Rank_Pct,Strategy_Return,Strategy_Return_%
2024-12-10,DVN,LONG,2.19,-0.0084,95.0,-0.03,-3.0
2024-12-11,COLD,LONG,2.02,0.0451,98.28,-0.0038000000000000004,-0.38
2024-12-26,GNRC,LONG,2.28,0.0367,95.91,-0.0083,-0.83
2024-12-26,CAR,LONG,2.03,0.0346,95.41,-0.03,-3.0
2024-12-27,PUMP,LONG,2.16,0.068,99.5,0.026699999999999995,2.67
2025-01-24,VKTX,LONG,2.14,0.0548,99.09,-0.0169,-1.69
2025-01-24,COLD,LONG,2.49,-0.0048,96.13,0.004199999999999999,0.42
2025-01-27,VKTX,LONG,2.4,0.2003,100.0,-0.023,-2.3
2025-01-27,DJT,LONG,2.13,0.0712,99.68,0.0113,1.13
2025-01-28,KLAC,LONG,2.49,0.1468,100.0,0.05469999999999999,5.47
2025-01-28,LTBR,LONG,3.05,0.0469,98.55,0.3502,35.02
2025-01-29,GIS,LONG,2.76,0.0198,96.87,-0.0068000000000000005,-0.68
2025-01-29,HAS,LONG,2.05,0.0151,96.37,-0.0196,-1.96
2025-01-31,CNR,LONG,2.02,0.0302,97.72,-0.02,-2.0
2025-02-03,CNR,LONG,2.03,0.0123,97.28,-0.0054,-0.54
2025-02-11,MRNA,LONG,2.22,0.1587,99.86,0.0026999999999999993,0.27
2025-02-11,MRK,LONG,2.03,-0.0003,93.13,-0.0291,-2.91
2025-02-12,NVAX,LONG,2.28,0.1163,99.91,0.0215,2.15
2025-02-12,MRNA,LONG,2.34,0.1101,99.77,0.05519999999999999,5.52
2025-05-01,BLMN,LONG,3.65,0.0809,99.64,-0.0125,-1.25
2025-05-01,NN,LONG,2.8,0.0714,99.45,0.0201,2.01
2025-05-02,RDW,LONG,3.64,0.1966,100.0,0.0179,1.79
2025-05-02,SOXL,LONG,2.09,0.1924,99.95,-0.029400000000000003,-2.94
2025-05-05,ARVN,LONG,3.18,0.1605,100.0,-0.03,-3.0
2025-05-05,SERV,LONG,2.8,0.1563,99.95,-0.03,-3.0
2025-05-06,LUNR,LONG,2.03,0.2774,99.95,0.0659,6.59
2025-05-06,HUT,LONG,2.98,0.2117,99.73,0.1402,14.02
2025-05-07,TSLL,LONG,4.75,0.1768,100.0,0.14479999999999998,14.48
2025-05-07,RDW,LONG,3.05,0.1696,99.95,-0.015300000000000001,-1.53
2025-05-08,TSLL,LONG,3.36,0.3068,100.0,0.2757,27.57
2025-05-08,TQQQ,LONG,2.09,0.1815,99.95,0.1067,10.67
2025-05-09,GES,LONG,2.95,0.1236,99.91,0.0484,4.84
2025-05-09,TSLL,LONG,2.19,0.0976,99.82,0.30129999999999996,30.13
2025-05-12,CORZ,LONG,2.9,0.0633,99.46,0.042,4.2
2025-05-12,GAP,LONG,3.15,0.0376,98.05,0.06099999999999999,6.1
2025-05-15,PPTA,LONG,2.95,0.146,100.0,0.0956,9.56
2025-05-15,WVE,LONG,2.89,0.0702,99.27,0.0040999999999999995,0.41
2025-05-16,IONQ,LONG,2.12,0.1669,99.95,0.043399999999999994,4.34
2025-05-16,TEM,LONG,3.81,0.1114,99.41,-0.03,-3.0
2025-05-19,CONL,LONG,2.36,0.2336,99.95,-0.0147,-1.47
2025-05-19,DXYZ,LONG,2.02,0.2046,99.91,-0.00020000000000000052,-0.02
2025-05-20,GLOB,LONG,2.44,0.1488,99.86,-0.0215,-2.15
2025-05-20,PONY,LONG,4.38,0.1442,99.82,0.117,11.7
2025-05-21,OKLO,LONG,3.02,0.1192,99.82,0.31079999999999997,31.08
2025-05-21,CAVA,LONG,7.2,0.1047,99.77,-0.03,-3.0
2025-05-22,RGTI,LONG,2.48,0.1484,100.0,0.2763,27.63
2025-05-22,HIMS,LONG,2.1,0.1238,99.91,-0.0101,-1.01
2025-05-23,ENVX,LONG,4.31,0.1655,99.66,0.10410000000000001,10.41
2025-05-23,HIMS,LONG,5.21,0.1406,99.05,-0.0131,-1.31
2025-05-27,AEVA,LONG,6.47,0.2019,99.95,0.0403,4.03
2025-05-27,ZBIO,LONG,3.2,0.1319,99.77,-0.03,-3.0
2025-05-28,ATAT,LONG,2.37,0.0885,99.23,-0.006200000000000001,-0.62
2025-05-28,RGNX,LONG,2.15,0.0814,99.0,-0.03,-3.0
2025-05-29,QUBT,LONG,2.69,0.1238,98.91,-0.03,-3.0
2025-05-29,LAZ,LONG,3.32,0.1169,98.73,-0.03,-3.0
2025-05-30,ARRY,LONG,2.18,0.1231,99.77,0.04889999999999999,4.89
2025-05-30,CONL,LONG,2.53,0.1167,99.61,0.0859,8.59
2025-06-02,GPCR,LONG,2.14,0.091,99.0,-0.0086,-0.86
2025-06-02,RDDT,LONG,2.27,0.0888,98.91,0.07289999999999999,7.29
2025-06-03,ASPI,LONG,3.1,0.1344,99.77,0.1396,13.96
2025-06-03,NBIS,LONG,2.93,0.1084,99.41,0.253,25.3
2025-06-04,FLYW,LONG,2.05,0.0662,99.23,0.0035000000000000014,0.35
2025-06-04,ACHC,LONG,3.73,0.0506,98.73,0.000700000000000001,0.07
2025-06-05,SATS,LONG,4.03,0.1161,99.91,-0.0254,-2.54
2025-06-05,RKT,LONG,3.66,0.1122,99.82,0.0084,0.84
2025-06-06,IONQ,LONG,2.03,0.17,99.95,0.045,4.5
2025-06-06,HCTI,LONG,2.81,0.1486,99.82,-0.01,-1.0
2025-06-09,FNMA,LONG,2.62,0.1103,98.87,0.1005,10.05
2025-06-09,GPCR,LONG,3.74,0.0839,97.11,0.0438,4.38
2025-06-10,AVR,LONG,2.08,0.1273,99.55,-0.03,-3.0
2025-06-10,ODD,LONG,3.39,0.105,99.05,0.0496,4.96
2025-06-11,ORIC,LONG,3.77,0.0895,98.97,-0.03,-3.0
2025-06-11,LTBR,LONG,2.08,0.0505,96.94,-0.03,-3.0
2025-06-24,QUBT,LONG,2.81,0.1057,98.96,-0.03,-3.0
2025-06-24,AFRM,LONG,2.88,0.0836,98.24,0.0194,1.94
2025-06-25,AFRM,LONG,2.91,0.0996,99.19,0.0186,1.86
2025-06-25,HIMS,LONG,5.84,0.0823,98.42,0.12070000000000002,12.07
2025-06-26,OKLO,LONG,4.82,0.1387,99.95,-0.03,-3.0
2025-06-26,IONQ,LONG,3.21,0.104,99.32,0.07590000000000001,7.59
2025-06-27,NNE,LONG,2.19,0.2136,99.95,-0.03,-3.0
2025-06-27,TEM,LONG,4.17,0.1188,99.28,-0.03,-3.0
2025-06-30,DLB,LONG,3.95,0.1049,98.72,0.014900000000000002,1.49
2025-06-30,PLAB,LONG,2.92,0.104,98.61,0.059000000000000004,5.9
2025-07-07,RXST,LONG,2.82,0.1225,99.78,-0.03,-3.0
2025-07-07,AMBA,LONG,2.3,0.1037,99.46,0.014399999999999998,1.44
2025-07-08,TEM,LONG,2.55,0.093,99.46,-0.0011999999999999997,-0.12
2025-07-08,RVLV,LONG,2.97,0.0894,99.26,0.051399999999999994,5.14
2025-07-09,WGS,LONG,3.4,0.1082,99.78,-0.03,-3.0
2025-07-09,ASTS,LONG,2.09,0.0816,99.46,-0.009000000000000001,-0.9
2025-07-10,TEM,LONG,2.45,0.0954,99.11,-0.03,-3.0
2025-07-10,QBTS,LONG,2.55,0.0654,98.03,-0.03,-3.0
2025-07-11,QBTS,LONG,2.14,0.0657,98.44,0.0083,0.83
2025-07-11,GPRE,LONG,4.08,0.0645,98.33,0.019999999999999997,2.0
2025-07-15,RXST,LONG,2.82,0.2529,100.0,-0.03,-3.0
2025-07-15,SATS,LONG,2.11,0.1325,99.78,-0.03,-3.0
2025-07-17,DLO,LONG,2.57,0.0641,98.75,-0.03,-3.0
2025-07-17,ACVA,LONG,2.97,0.0515,97.95,-0.03,-3.0
2025-07-21,KURA,LONG,3.25,0.09,99.11,-0.0069,-0.69
2025-07-21,ENOV,LONG,2.02,0.0351,97.01,0.015499999999999998,1.55
2025-07-25,ASAN,LONG,2.16,0.1103,99.64,0.0094,0.94
2025-07-25,BTSG,LONG,2.8,0.0556,98.4,-0.03,-3.0
2025-07-28,IONQ,LONG,2.18,0.1254,99.87,-0.03,-3.0
2025-07-28,QUBT,LONG,2.14,0.0903,99.29,-0.03,-3.0
2025-08-01,URGN,LONG,2.4,0.0933,99.55,0.10160000000000001,10.16
2025-08-01,GH,LONG,4.07,0.0842,99.33,0.12300000000000001,12.3
2025-08-04,MRUS,LONG,2.76,0.0545,96.11,-0.0109,-1.09
2025-08-04,HCTI,LONG,2.29,0.0367,93.45,-0.03,-3.0
2025-08-06,CAPR,LONG,2.39,0.1028,99.64,0.1725,17.25
2025-08-06,USAR,LONG,3.24,0.0938,99.42,0.1153,11.53
2025-08-07,AVPT,LONG,2.13,0.0861,99.24,-0.03,-3.0
2025-08-07,BKSY,LONG,2.98,0.082,99.07,0.0089,0.89
2025-08-08,SRRK,LONG,2.27,0.1489,99.91,0.004199999999999999,0.42
2025-08-08,ACDC,LONG,2.83,0.0734,98.84,-0.00040000000000000105,-0.04
2025-08-11,PL,LONG,2.31,0.1069,99.78,0.05059999999999999,5.06
2025-08-11,PBF,LONG,2.35,0.0856,99.6,0.0264,2.64
2025-08-12,EOSE,LONG,2.07,0.1456,99.82,0.009299999999999998,0.93
2025-08-12,CRWV,LONG,2.69,0.111,99.53,-0.03,-3.0
2025-08-13,HIMS,LONG,2.45,0.1323,99.87,-0.03,-3.0
2025-08-13,REPL,LONG,2.09,0.0216,96.35,0.0312,3.12
2025-08-14,UMAC,LONG,2.27,0.1839,100.0,-0.005,-0.5
2025-08-14,NBIS,LONG,2.88,0.0767,99.55,0.03,3.0
2025-08-20,LUNR,LONG,2.0,0.1276,99.44,0.0349,3.49
2025-08-20,AMPX,LONG,2.71,0.0879,98.62,0.07310000000000001,7.31
2025-08-22,WRD,LONG,2.38,0.0788,98.76,0.053200000000000004,5.32
2025-08-22,PRGS,LONG,2.03,0.0329,94.69,-0.0008999999999999998,-0.09
2025-08-25,CAPR,LONG,2.97,0.0722,98.63,-0.03,-3.0
2025-08-25,AESI,LONG,3.05,0.021,93.31,-0.0134,-1.34
2025-08-27,TLRY,LONG,3.74,0.0552,98.01,-0.03,-3.0
2025-08-27,SGML,LONG,2.33,0.0344,96.68,0.11210000000000002,11.21
2025-09-02,ZIM,LONG,3.17,0.0747,98.98,-0.0182,-1.82
2025-09-02,RUM,LONG,3.65,0.0733,98.87,0.0028000000000000004,0.28
2025-09-04,MNTS,LONG,2.52,0.1083,99.65,-0.03,-3.0
2025-09-04,SEI,LONG,2.26,0.0742,98.67,-0.03,-3.0
2025-09-05,EEFT,LONG,2.37,0.0839,99.38,-0.0078,-0.78
2025-09-05,CNC,LONG,2.4,0.0625,98.72,0.07640000000000001,7.64
2025-09-08,RKLB,LONG,2.04,0.1643,99.96,0.004699999999999999,0.47
2025-09-08,JOBY,LONG,3.28,0.1138,99.69,-0.03,-3.0
2025-09-09,XPEV,LONG,2.01,0.0824,99.38,-0.0134,-1.34
2025-09-09,BEAM,LONG,2.37,0.0589,98.37,0.06400000000000002,6.4
2025-09-10,YPF,LONG,2.78,0.1675,100.0,-0.0155,-1.55
2025-09-10,RBLX,LONG,2.11,0.0855,99.25,-0.004,-0.4
2025-09-11,TIGR,LONG,2.4,0.0415,96.29,-0.03,-3.0
2025-09-11,OXLC,LONG,3.01,0.0134,93.51,-0.0026,-0.26
2025-09-24,IRDM,LONG,2.57,0.042,96.87,-0.0162,-1.62
2025-09-24,OCSL,LONG,2.98,0.0213,94.28,9.99999999999994e-05,0.01
2025-09-26,SOC,LONG,2.24,0.0842,98.41,-0.03,-3.0
2025-09-26,NCNO,LONG,2.37,0.0206,92.11,-0.03,-3.0
2025-10-03,IONQ,LONG,2.09,0.0877,99.06,0.11240000000000001,11.24
2025-10-03,IREN,LONG,2.01,0.0343,94.43,0.2874,28.74
2025-10-06,VVV,LONG,2.32,0.0416,95.37,-0.03,-3.0
2025-10-06,RPM,LONG,3.77,0.0385,95.06,-0.03,-3.0
2025-10-07,VECO,LONG,2.1,0.1738,99.91,-0.03,-3.0
2025-10-07,SRAD,LONG,2.05,0.1123,98.99,-0.020200000000000003,-2.02
2025-10-08,TNGX,LONG,2.44,0.1191,99.39,-0.029199999999999997,-2.92
2025-10-08,LSPD,LONG,2.75,0.1083,99.17,-0.03,-3.0
2025-10-09,BBBY,LONG,3.16,0.2391,100.0,-0.03,-3.0
2025-10-09,EOSE,LONG,2.35,0.1431,99.91,0.1229,12.29
2025-10-10,LENZ,LONG,3.22,0.1151,99.61,-0.03,-3.0
2025-10-10,LFST,LONG,2.67,0.0901,99.17,-0.03,-3.0
2025-10-13,LIND,LONG,2.53,0.165,99.96,0.0295,2.95
2025-10-13,ATAT,LONG,3.04,0.1629,99.91,0.021899999999999996,2.19
2025-10-14,ERO,LONG,2.35,0.1089,99.69,0.034,3.4
2025-10-14,SRPT,LONG,2.54,0.0828,99.26,0.07160000000000001,7.16
2025-10-17,ONDS,LONG,2.51,0.2237,100.0,-0.03,-3.0
2025-10-17,HBAN,LONG,2.4,0.1305,99.5,0.009799999999999998,0.98
2025-10-22,SGML,LONG,3.64,0.1198,99.65,-0.026299999999999997,-2.63
2025-10-22,CGAU,LONG,2.21,0.0698,98.87,0.0458,4.58
2025-10-23,BULL,LONG,4.42,0.2064,100.0,0.052899999999999996,5.29
2025-10-23,PDYN,LONG,2.9,0.1159,99.3,0.0262,2.62
2025-10-24,NVTS,LONG,2.34,0.1625,99.83,-0.03,-3.0
2025-10-24,BULL,LONG,2.61,0.1165,99.43,-0.0082,-0.82
2025-10-27,ASPI,LONG,2.33,0.1449,99.87,-0.0002999999999999999,-0.03
2025-10-27,RLAY,LONG,2.81,0.1445,99.83,0.0328,3.28
2025-10-29,QBTS,LONG,2.23,0.0923,99.3,0.13119999999999998,13.12
2025-10-29,CRK,LONG,2.36,0.0839,98.96,0.07070000000000001,7.07
2025-10-31,INSP,LONG,2.08,0.0731,98.26,0.15289999999999998,15.29
2025-10-31,LIVN,LONG,2.05,0.0723,98.22,0.0184,1.84
2025-11-03,CGON,LONG,2.45,0.0405,96.48,-0.03,-3.0
2025-11-03,ODD,LONG,2.61,0.0225,93.79,-0.03,-3.0
2025-11-05,FLNC,LONG,3.87,0.1339,99.61,0.0395,3.95
2025-11-05,CLPT,LONG,3.69,0.1112,99.22,-0.03,-3.0
2025-11-12,SOC,LONG,4.17,0.1504,99.7,-0.03,-3.0
2025-11-12,WULF,LONG,2.04,0.1206,99.43,-0.03,-3.0
2025-11-13,BWA,LONG,2.81,0.0828,98.48,-0.03,-3.0
2025-11-13,ACIW,LONG,3.17,0.076,98.09,-0.027200000000000002,-2.72
2025-11-14,UAMY,LONG,2.73,0.1152,99.65,0.056299999999999996,5.63
2025-11-14,WULF,LONG,2.78,0.1111,99.43,0.058600000000000006,5.86
2025-11-28,INSP,LONG,2.32,0.063,97.04,0.0406,4.06
2025-12-01,TLRY,LONG,4.16,0.1046,99.57,-0.03,-3.0
2025-12-01,PTLO,LONG,2.11,0.054,97.36,-0.03,-3.0
2025-12-02,ACHR,LONG,3.98,0.1093,99.65,0.1817,18.17
2025-12-02,ACVA,LONG,2.29,0.0852,99.09,0.0107,1.07
2025-12-03,UPST,LONG,2.6,0.1636,99.87,0.08630000000000002,8.63
2025-12-03,TLRY,LONG,2.87,0.1361,99.65,-0.03,-3.0
2025-12-04,LYB,LONG,2.0,0.0583,98.88,-0.03,-3.0
2025-12-04,BBBY,LONG,2.79,0.0418,97.86,-0.03,-3.0
2025-12-10,VVV,LONG,2.7,0.0332,97.2,0.0199,1.99
2025-12-10,ASST,LONG,2.67,0.0269,96.81,-0.03,-3.0
2025-12-11,GSIT,LONG,2.99,0.0652,99.01,-0.03,-3.0
2025-12-11,QURE,LONG,2.22,0.0649,98.97,0.011499999999999998,1.15
2025-12-23,HRMY,LONG,2.39,-0.0037,93.41,-0.025,-2.5
2025-12-29,RKLB,LONG,2.73,0.1236,99.83,-0.0063,-0.63
2025-12-29,PL,LONG,2.18,0.0597,98.28,0.0353,3.53
2025-12-30,FINV,LONG,2.04,0.0507,95.35,-0.0119,-1.19
